dictSize,batchSize,appendTimeMillisec,
1, 8192, 132, 
2, 8192, 157, 
3, 8192, 33, 
4, 8192, 238, 
5, 8192, 26, 
6, 8192, 95, 
7, 8192, 20, 
8, 8192, 397, 
9, 8192, 20, 
10, 8192, 74, 
11, 8192, 14, 
12, 8192, 175, 
13, 8192, 31, 
14, 8192, 110, 
15, 8192, 26, 
16, 8192, 804, 
17, 8192, 20, 
18, 8192, 93, 
19, 8192, 29, 
20, 8192, 231, 
21, 8192, 14, 
22, 8192, 68, 
23, 8192, 14, 
24, 8192, 425, 
25, 8192, 15, 
26, 8192, 69, 
27, 8192, 14, 
28, 8192, 162, 
29, 8192, 14, 
30, 8192, 69, 
31, 8192, 14, 
32, 8192, 1428, 
33, 8192, 27, 
34, 8192, 98, 
35, 8192, 22, 
36, 8192, 216, 
37, 8192, 25, 
38, 8192, 81, 
39, 8192, 20, 
40, 8192, 411, 
41, 8192, 14, 
42, 8192, 68, 
43, 8192, 14, 
44, 8192, 188, 
45, 8192, 14, 
46, 8192, 70, 
47, 8192, 14, 
48, 8192, 773, 
49, 8192, 27, 
50, 8192, 84, 
51, 8192, 14, 
52, 8192, 196, 
53, 8192, 25, 
54, 8192, 97, 
55, 8192, 14, 
56, 8192, 426, 
57, 8192, 15, 
58, 8192, 69, 
59, 8192, 14, 
60, 8192, 189, 
61, 8192, 20, 
62, 8192, 99, 
63, 8192, 21, 
64, 8192, 2932, 
65, 8192, 14, 
66, 8192, 76, 
67, 8192, 14, 
68, 8192, 174, 
69, 8192, 26, 
70, 8192, 97, 
71, 8192, 23, 
72, 8192, 431, 
73, 8192, 21, 
74, 8192, 111, 
75, 8192, 18, 
76, 8192, 201, 
77, 8192, 14, 
78, 8192, 69, 
79, 8192, 14, 
80, 8192, 745, 
81, 8192, 21, 
82, 8192, 88, 
83, 8192, 14, 
84, 8192, 188, 
85, 8192, 14, 
86, 8192, 83, 
87, 8192, 14, 
88, 8192, 387, 
89, 8192, 26, 
90, 8192, 95, 
91, 8192, 23, 
92, 8192, 221, 
93, 8192, 17, 
94, 8192, 66, 
95, 8192, 13, 
96, 8192, 1491, 
97, 8192, 27, 
98, 8192, 98, 
99, 8192, 25, 
100, 8192, 200, 
101, 8192, 14, 
102, 8192, 67, 
103, 8192, 13, 
104, 8192, 417, 
105, 8192, 30, 
106, 8192, 97, 
107, 8192, 21, 
108, 8192, 210, 
109, 8192, 21, 
110, 8192, 88, 
111, 8192, 20, 
112, 8192, 828, 
113, 8192, 14, 
114, 8192, 68, 
115, 8192, 14, 
116, 8192, 195, 
117, 8192, 14, 
118, 8192, 76, 
119, 8192, 14, 
120, 8192, 407, 
121, 8192, 22, 
122, 8192, 83, 
123, 8192, 21, 
124, 8192, 238, 
125, 8192, 31, 
126, 8192, 126, 
127, 8192, 31, 
128, 8192, 5653, 
129, 8192, 21, 
130, 8192, 80, 
131, 8192, 15, 
132, 8192, 213, 
133, 8192, 21, 
134, 8192, 92, 
135, 8192, 20, 
136, 8192, 423, 
137, 8192, 19, 
138, 8192, 68, 
139, 8192, 14, 
140, 8192, 198, 
141, 8192, 24, 
142, 8192, 90, 
143, 8192, 25, 
144, 8192, 885, 
145, 8192, 19, 
146, 8192, 79, 
147, 8192, 14, 
148, 8192, 198, 
149, 8192, 25, 
150, 8192, 86, 
151, 8192, 17, 
152, 8192, 438, 
153, 8192, 14, 
154, 8192, 66, 
155, 8192, 13, 
156, 8192, 205, 
157, 8192, 28, 
158, 8192, 127, 
159, 8192, 25, 
160, 8192, 1456, 
161, 8192, 25, 
162, 8192, 101, 
163, 8192, 14, 
164, 8192, 180, 
165, 8192, 14, 
166, 8192, 62, 
167, 8192, 13, 
168, 8192, 391, 
169, 8192, 15, 
170, 8192, 65, 
171, 8192, 14, 
172, 8192, 178, 
173, 8192, 26, 
174, 8192, 100, 
175, 8192, 28, 
176, 8192, 760, 
177, 8192, 28, 
178, 8192, 88, 
179, 8192, 24, 
180, 8192, 204, 
181, 8192, 14, 
182, 8192, 73, 
183, 8192, 21, 
184, 8192, 413, 
185, 8192, 28, 
186, 8192, 68, 
187, 8192, 14, 
188, 8192, 185, 
189, 8192, 17, 
190, 8192, 76, 
191, 8192, 13, 
192, 8192, 2931, 
193, 8192, 26, 
194, 8192, 88, 
195, 8192, 16, 
196, 8192, 227, 
197, 8192, 28, 
198, 8192, 103, 
199, 8192, 22, 
200, 8192, 425, 
201, 8192, 14, 
202, 8192, 87, 
203, 8192, 14, 
204, 8192, 209, 
205, 8192, 23, 
206, 8192, 66, 
207, 8192, 14, 
208, 8192, 758, 
209, 8192, 15, 
210, 8192, 64, 
211, 8192, 14, 
212, 8192, 180, 
213, 8192, 28, 
214, 8192, 96, 
215, 8192, 24, 
216, 8192, 410, 
217, 8192, 15, 
218, 8192, 65, 
219, 8192, 26, 
220, 8192, 200, 
221, 8192, 24, 
222, 8192, 91, 
223, 8192, 23, 
224, 8192, 1578, 
225, 8192, 27, 
226, 8192, 87, 
227, 8192, 14, 
228, 8192, 197, 
229, 8192, 26, 
230, 8192, 90, 
231, 8192, 23, 
232, 8192, 436, 
233, 8192, 43, 
234, 8192, 112, 
235, 8192, 16, 
236, 8192, 190, 
237, 8192, 26, 
238, 8192, 114, 
239, 8192, 24, 
240, 8192, 768, 
241, 8192, 14, 
242, 8192, 77, 
243, 8192, 24, 
244, 8192, 205, 
245, 8192, 14, 
246, 8192, 81, 
247, 8192, 14, 
248, 8192, 393, 
249, 8192, 23, 
250, 8192, 93, 
251, 8192, 20, 
252, 8192, 186, 
253, 8192, 25, 
254, 8192, 74, 
255, 8192, 15, 
256, 8192, 11318, 
257, 8192, 18, 
258, 8192, 66, 
259, 8192, 13, 
260, 8192, 185, 
261, 8192, 30, 
262, 8192, 103, 
263, 8192, 20, 
264, 8192, 407, 
265, 8192, 20, 
266, 8192, 69, 
267, 8192, 14, 
268, 8192, 178, 
269, 8192, 14, 
270, 8192, 66, 
271, 8192, 14, 
272, 8192, 793, 
273, 8192, 24, 
274, 8192, 72, 
275, 8192, 14, 
276, 8192, 201, 
277, 8192, 14, 
278, 8192, 67, 
279, 8192, 14, 
280, 8192, 399, 
281, 8192, 18, 
282, 8192, 97, 
283, 8192, 20, 
284, 8192, 219, 
285, 8192, 23, 
286, 8192, 92, 
287, 8192, 20, 
288, 8192, 1540, 
289, 8192, 28, 
290, 8192, 99, 
291, 8192, 22, 
292, 8192, 231, 
293, 8192, 24, 
294, 8192, 103, 
295, 8192, 20, 
296, 8192, 452, 
297, 8192, 24, 
298, 8192, 105, 
299, 8192, 23, 
300, 8192, 217, 
301, 8192, 25, 
302, 8192, 80, 
303, 8192, 23, 
304, 8192, 807, 
305, 8192, 18, 
306, 8192, 78, 
307, 8192, 14, 
308, 8192, 199, 
309, 8192, 23, 
310, 8192, 92, 
311, 8192, 22, 
312, 8192, 426, 
313, 8192, 29, 
314, 8192, 130, 
315, 8192, 32, 
316, 8192, 236, 
317, 8192, 27, 
318, 8192, 107, 
319, 8192, 24, 
320, 8192, 2977, 
321, 8192, 14, 
322, 8192, 61, 
323, 8192, 14, 
324, 8192, 168, 
325, 8192, 14, 
326, 8192, 68, 
327, 8192, 13, 
328, 8192, 337, 
329, 8192, 14, 
330, 8192, 69, 
331, 8192, 14, 
332, 8192, 161, 
333, 8192, 14, 
334, 8192, 74, 
335, 8192, 14, 
336, 8192, 723, 
337, 8192, 27, 
338, 8192, 68, 
339, 8192, 14, 
340, 8192, 162, 
341, 8192, 15, 
342, 8192, 65, 
343, 8192, 14, 
344, 8192, 353, 
345, 8192, 29, 
346, 8192, 96, 
347, 8192, 15, 
348, 8192, 183, 
349, 8192, 14, 
350, 8192, 76, 
351, 8192, 15, 
352, 8192, 1515, 
353, 8192, 26, 
354, 8192, 69, 
355, 8192, 15, 
356, 8192, 187, 
357, 8192, 26, 
358, 8192, 65, 
359, 8192, 14, 
360, 8192, 386, 
361, 8192, 14, 
362, 8192, 70, 
363, 8192, 14, 
364, 8192, 186, 
365, 8192, 14, 
366, 8192, 76, 
367, 8192, 14, 
368, 8192, 750, 
369, 8192, 14, 
370, 8192, 68, 
371, 8192, 14, 
372, 8192, 200, 
373, 8192, 19, 
374, 8192, 80, 
375, 8192, 14, 
376, 8192, 409, 
377, 8192, 15, 
378, 8192, 108, 
379, 8192, 22, 
380, 8192, 185, 
381, 8192, 14, 
382, 8192, 67, 
383, 8192, 14, 
384, 8192, 5731, 
385, 8192, 22, 
386, 8192, 83, 
387, 8192, 20, 
388, 8192, 195, 
389, 8192, 17, 
390, 8192, 89, 
391, 8192, 21, 
392, 8192, 418, 
393, 8192, 24, 
394, 8192, 117, 
395, 8192, 22, 
396, 8192, 197, 
397, 8192, 25, 
398, 8192, 67, 
399, 8192, 14, 
400, 8192, 792, 
401, 8192, 18, 
402, 8192, 69, 
403, 8192, 14, 
404, 8192, 177, 
405, 8192, 31, 
406, 8192, 73, 
407, 8192, 14, 
408, 8192, 468, 
409, 8192, 26, 
410, 8192, 99, 
411, 8192, 27, 
412, 8192, 219, 
413, 8192, 24, 
414, 8192, 94, 
415, 8192, 24, 
416, 8192, 1623, 
417, 8192, 28, 
418, 8192, 99, 
419, 8192, 24, 
420, 8192, 205, 
421, 8192, 16, 
422, 8192, 68, 
423, 8192, 14, 
424, 8192, 440, 
425, 8192, 22, 
426, 8192, 117, 
427, 8192, 20, 
428, 8192, 203, 
429, 8192, 27, 
430, 8192, 95, 
431, 8192, 23, 
432, 8192, 776, 
433, 8192, 20, 
434, 8192, 96, 
435, 8192, 24, 
436, 8192, 215, 
437, 8192, 29, 
