dictSize,batchSize,appendTimeMillisec,
1, 512, 151, 
2, 512, 160, 
3, 512, 28, 
4, 512, 252, 
5, 512, 26, 
6, 512, 104, 
7, 512, 20, 
8, 512, 460, 
9, 512, 28, 
10, 512, 91, 
11, 512, 14, 
12, 512, 192, 
13, 512, 14, 
14, 512, 66, 
15, 512, 13, 
16, 512, 863, 
17, 512, 23, 
18, 512, 87, 
19, 512, 15, 
20, 512, 187, 
21, 512, 14, 
22, 512, 67, 
23, 512, 14, 
24, 512, 389, 
25, 512, 20, 
26, 512, 87, 
27, 512, 14, 
28, 512, 186, 
29, 512, 21, 
30, 512, 99, 
31, 512, 25, 
32, 512, 1531, 
33, 512, 20, 
34, 512, 73, 
35, 512, 13, 
36, 512, 190, 
37, 512, 16, 
38, 512, 82, 
39, 512, 18, 
40, 512, 396, 
41, 512, 28, 
42, 512, 91, 
43, 512, 21, 
44, 512, 205, 
45, 512, 25, 
46, 512, 97, 
47, 512, 21, 
48, 512, 786, 
49, 512, 31, 
50, 512, 100, 
51, 512, 21, 
52, 512, 211, 
53, 512, 25, 
54, 512, 85, 
55, 512, 15, 
56, 512, 380, 
57, 512, 15, 
58, 512, 64, 
59, 512, 14, 
60, 512, 190, 
61, 512, 14, 
62, 512, 83, 
63, 512, 21, 
64, 512, 2957, 
65, 512, 25, 
66, 512, 94, 
67, 512, 20, 
68, 512, 214, 
69, 512, 23, 
70, 512, 84, 
71, 512, 20, 
72, 512, 418, 
73, 512, 35, 
74, 512, 109, 
75, 512, 14, 
76, 512, 182, 
77, 512, 14, 
78, 512, 73, 
79, 512, 23, 
80, 512, 804, 
81, 512, 28, 
82, 512, 70, 
83, 512, 14, 
84, 512, 183, 
85, 512, 14, 
86, 512, 83, 
87, 512, 14, 
88, 512, 404, 
89, 512, 32, 
90, 512, 97, 
91, 512, 22, 
92, 512, 218, 
93, 512, 26, 
94, 512, 100, 
95, 512, 23, 
96, 512, 1578, 
97, 512, 27, 
98, 512, 73, 
99, 512, 13, 
100, 512, 195, 
101, 512, 15, 
102, 512, 87, 
103, 512, 22, 
104, 512, 421, 
105, 512, 20, 
106, 512, 88, 
107, 512, 23, 
108, 512, 211, 
109, 512, 18, 
110, 512, 77, 
111, 512, 20, 
112, 512, 825, 
113, 512, 14, 
114, 512, 69, 
115, 512, 14, 
116, 512, 183, 
117, 512, 14, 
118, 512, 71, 
119, 512, 16, 
120, 512, 407, 
121, 512, 20, 
122, 512, 65, 
123, 512, 14, 
124, 512, 182, 
125, 512, 14, 
126, 512, 86, 
127, 512, 21, 
128, 512, 5757, 
129, 512, 21, 
130, 512, 77, 
131, 512, 13, 
132, 512, 193, 
133, 512, 22, 
134, 512, 82, 
135, 512, 15, 
136, 512, 367, 
137, 512, 25, 
138, 512, 95, 
139, 512, 14, 
140, 512, 196, 
141, 512, 15, 
142, 512, 69, 
143, 512, 14, 
144, 512, 763, 
145, 512, 22, 
146, 512, 94, 
147, 512, 22, 
148, 512, 226, 
149, 512, 14, 
150, 512, 76, 
151, 512, 21, 
152, 512, 403, 
153, 512, 14, 
154, 512, 69, 
155, 512, 14, 
156, 512, 183, 
