dictSize,batchSize,appendTimeMillisec,
318, 64, 63, 
319, 64, 14, 
320, 64, 48547, 
321, 64, 15, 
322, 64, 88, 
323, 64, 25, 
324, 64, 228, 
325, 64, 31, 
326, 64, 90, 
327, 64, 15, 
328, 64, 416, 
329, 64, 29, 
330, 64, 123, 
331, 64, 35, 
332, 64, 247, 
333, 64, 27, 
334, 64, 99, 
335, 64, 14, 
336, 64, 786, 
337, 64, 14, 
338, 64, 72, 
339, 64, 14, 
340, 64, 180, 
341, 64, 14, 
342, 64, 63, 
343, 64, 14, 
344, 64, 377, 
345, 64, 15, 
346, 64, 70, 
347, 64, 14, 
348, 64, 192, 
349, 64, 22, 
350, 64, 101, 
351, 64, 21, 
352, 64, 1647, 
353, 64, 28, 
354, 64, 107, 
355, 64, 23, 
356, 64, 205, 
357, 64, 14, 
358, 64, 62, 
359, 64, 13, 
360, 64, 388, 
361, 64, 20, 
362, 64, 95, 
363, 64, 14, 
364, 64, 213, 
365, 64, 26, 
366, 64, 73, 
367, 64, 14, 
368, 64, 868, 
369, 64, 29, 
370, 64, 116, 
371, 64, 14, 
372, 64, 212, 
373, 64, 26, 
374, 64, 99, 
375, 64, 22, 
376, 64, 415, 
377, 64, 15, 
378, 64, 74, 
379, 64, 23, 
380, 64, 210, 
381, 64, 16, 
382, 64, 68, 
383, 64, 14, 
384, 64, 94026, 
385, 64, 16, 
386, 64, 74, 
387, 64, 15, 
388, 64, 195, 
389, 64, 20, 
390, 64, 81, 
391, 64, 15, 
392, 64, 423, 
393, 64, 31, 
394, 64, 86, 
395, 64, 14, 
396, 64, 184, 
397, 64, 17, 
398, 64, 84, 
399, 64, 21, 
400, 64, 781, 
401, 64, 29, 
402, 64, 103, 
403, 64, 25, 
404, 64, 213, 
405, 64, 24, 
406, 64, 91, 
407, 64, 20, 
408, 64, 454, 
409, 64, 25, 
410, 64, 100, 
411, 64, 21, 
412, 64, 212, 
413, 64, 26, 
414, 64, 91, 
415, 64, 23, 
416, 64, 1510, 
417, 64, 24, 
418, 64, 86, 
419, 64, 16, 
420, 64, 215, 
421, 64, 28, 
422, 64, 94, 
