dictSize,batchSize,appendTimeMillisec,
1, 128, 74, 
2, 128, 129, 
3, 128, 27, 
4, 128, 262, 
5, 128, 14, 
6, 128, 81, 
7, 128, 22, 
8, 128, 470, 
9, 128, 23, 
10, 128, 109, 
11, 128, 24, 
12, 128, 245, 
13, 128, 31, 
14, 128, 108, 
15, 128, 26, 
16, 128, 790, 
17, 128, 25, 
18, 128, 71, 
19, 128, 14, 
20, 128, 162, 
21, 128, 14, 
22, 128, 69, 
23, 128, 20, 
24, 128, 412, 
25, 128, 20, 
26, 128, 72, 
27, 128, 14, 
28, 128, 183, 
29, 128, 20, 
30, 128, 75, 
31, 128, 14, 
32, 128, 1455, 
33, 128, 27, 
34, 128, 89, 
35, 128, 22, 
36, 128, 189, 
37, 128, 23, 
38, 128, 104, 
39, 128, 21, 
40, 128, 402, 
41, 128, 22, 
42, 128, 94, 
43, 128, 20, 
44, 128, 202, 
45, 128, 24, 
46, 128, 96, 
47, 128, 25, 
48, 128, 865, 
49, 128, 29, 
50, 128, 100, 
51, 128, 21, 
52, 128, 197, 
53, 128, 30, 
54, 128, 93, 
55, 128, 21, 
56, 128, 416, 
57, 128, 26, 
58, 128, 92, 
59, 128, 20, 
60, 128, 203, 
61, 128, 29, 
62, 128, 103, 
63, 128, 28, 
64, 128, 3076, 
65, 128, 25, 
66, 128, 100, 
67, 128, 25, 
68, 128, 199, 
69, 128, 26, 
70, 128, 116, 
71, 128, 32, 
72, 128, 458, 
73, 128, 26, 
74, 128, 89, 
75, 128, 14, 
76, 128, 202, 
77, 128, 20, 
78, 128, 70, 
79, 128, 16, 
80, 128, 765, 
81, 128, 30, 
82, 128, 77, 
83, 128, 15, 
84, 128, 187, 
85, 128, 14, 
86, 128, 82, 
87, 128, 13, 
88, 128, 396, 
89, 128, 26, 
90, 128, 95, 
91, 128, 23, 
92, 128, 216, 
93, 128, 21, 
94, 128, 123, 
95, 128, 33, 
96, 128, 1489, 
97, 128, 14, 
98, 128, 66, 
99, 128, 14, 
100, 128, 168, 
101, 128, 15, 
102, 128, 76, 
103, 128, 22, 
104, 128, 345, 
105, 128, 15, 
106, 128, 69, 
107, 128, 14, 
108, 128, 162, 
109, 128, 15, 
110, 128, 74, 
111, 128, 14, 
112, 128, 695, 
113, 128, 27, 
114, 128, 70, 
115, 128, 13, 
116, 128, 162, 
117, 128, 14, 
118, 128, 71, 
119, 128, 20, 
120, 128, 392, 
121, 128, 27, 
122, 128, 96, 
123, 128, 25, 
124, 128, 222, 
125, 128, 26, 
126, 128, 90, 
127, 128, 20, 
128, 128, 88372, 
129, 128, 15, 
130, 128, 72, 
131, 128, 14, 
132, 128, 212, 
133, 128, 17, 
134, 128, 94, 
135, 128, 24, 
136, 128, 394, 
137, 128, 19, 
138, 128, 69, 
139, 128, 14, 
140, 128, 209, 
141, 128, 35, 
142, 128, 89, 
143, 128, 21, 
144, 128, 871, 
145, 128, 25, 
146, 128, 69, 
147, 128, 14, 
148, 128, 199, 
149, 128, 20, 
150, 128, 67, 
151, 128, 14, 
152, 128, 427, 
153, 128, 27, 
154, 128, 120, 
155, 128, 23, 
156, 128, 198, 
157, 128, 24, 
158, 128, 87, 
159, 128, 20, 
160, 128, 1505, 
161, 128, 28, 
162, 128, 95, 
163, 128, 22, 
164, 128, 213, 
165, 128, 27, 
166, 128, 90, 
167, 128, 22, 
168, 128, 423, 
169, 128, 15, 
170, 128, 64, 
171, 128, 14, 
172, 128, 181, 
173, 128, 20, 
174, 128, 93, 
175, 128, 29, 
176, 128, 859, 
177, 128, 28, 
178, 128, 105, 
179, 128, 22, 
180, 128, 217, 
181, 128, 24, 
182, 128, 86, 
183, 128, 15, 
184, 128, 398, 
185, 128, 15, 
186, 128, 69, 
187, 128, 14, 
188, 128, 230, 
189, 128, 30, 
190, 128, 94, 
191, 128, 20, 
192, 128, 2919, 
193, 128, 27, 
194, 128, 92, 
195, 128, 21, 
196, 128, 224, 
197, 128, 32, 
198, 128, 94, 
199, 128, 21, 
200, 128, 452, 
201, 128, 30, 
202, 128, 106, 
203, 128, 27, 
204, 128, 222, 
205, 128, 15, 
206, 128, 64, 
207, 128, 14, 
208, 128, 810, 
209, 128, 15, 
210, 128, 65, 
211, 128, 24, 
212, 128, 222, 
213, 128, 22, 
214, 128, 64, 
215, 128, 14, 
216, 128, 412, 
217, 128, 15, 
218, 128, 72, 
219, 128, 24, 
220, 128, 217, 
221, 128, 24, 
222, 128, 89, 
223, 128, 15, 
224, 128, 1483, 
225, 128, 22, 
226, 128, 97, 
227, 128, 15, 
228, 128, 197, 
229, 128, 14, 
230, 128, 67, 
231, 128, 16, 
232, 128, 401, 
233, 128, 30, 
234, 128, 82, 
235, 128, 14, 
236, 128, 191, 
237, 128, 27, 
238, 128, 99, 
239, 128, 22, 
240, 128, 796, 
241, 128, 29, 
242, 128, 134, 
243, 128, 28, 
244, 128, 214, 
245, 128, 27, 
246, 128, 88, 
247, 128, 14, 
248, 128, 386, 
249, 128, 28, 
250, 128, 95, 
251, 128, 19, 
252, 128, 175, 
253, 128, 25, 
254, 128, 70, 
255, 128, 13, 
256, 128, 190101, 
257, 128, 20, 
258, 128, 80, 
259, 128, 22, 
260, 128, 217, 
261, 128, 17, 
262, 128, 73, 
263, 128, 21, 
264, 128, 437, 
265, 128, 22, 
266, 128, 85, 
267, 128, 14, 
268, 128, 189, 
269, 128, 25, 
270, 128, 84, 
271, 128, 25, 
272, 128, 848, 
273, 128, 28, 
274, 128, 96, 
275, 128, 28, 
276, 128, 218, 
277, 128, 14, 
278, 128, 80, 
279, 128, 23, 
280, 128, 454, 
281, 128, 29, 
282, 128, 96, 
283, 128, 30, 
284, 128, 248, 
285, 128, 27, 
286, 128, 116, 
287, 128, 21, 
288, 128, 1591, 
289, 128, 15, 
290, 128, 78, 
291, 128, 24, 
292, 128, 210, 
293, 128, 24, 
294, 128, 97, 
295, 128, 25, 
296, 128, 435, 
297, 128, 26, 
298, 128, 92, 
299, 128, 21, 
300, 128, 197, 
301, 128, 21, 
302, 128, 72, 
303, 128, 14, 
304, 128, 818, 
305, 128, 27, 
306, 128, 100, 
307, 128, 19, 
308, 128, 192, 
309, 128, 25, 
310, 128, 88, 
311, 128, 35, 
312, 128, 458, 
313, 128, 23, 
314, 128, 94, 
315, 128, 25, 
316, 128, 224, 
317, 128, 22, 
318, 128, 99, 
319, 128, 16, 
320, 128, 2990, 
321, 128, 26, 
322, 128, 66, 
323, 128, 14, 
324, 128, 179, 
325, 128, 22, 
326, 128, 96, 
327, 128, 20, 
328, 128, 375, 
329, 128, 25, 
330, 128, 92, 
331, 128, 21, 
332, 128, 197, 
333, 128, 14, 
334, 128, 82, 
335, 128, 20, 
336, 128, 819, 
337, 128, 27, 
338, 128, 104, 
339, 128, 23, 
340, 128, 218, 
341, 128, 23, 
342, 128, 83, 
343, 128, 15, 
344, 128, 380, 
345, 128, 15, 
346, 128, 70, 
347, 128, 14, 
348, 128, 210, 
349, 128, 31, 
350, 128, 119, 
351, 128, 24, 
352, 128, 1605, 
353, 128, 20, 
354, 128, 92, 
355, 128, 20, 
356, 128, 204, 
357, 128, 25, 
358, 128, 87, 
359, 128, 20, 
360, 128, 409, 
361, 128, 15, 
362, 128, 72, 
363, 128, 15, 
364, 128, 169, 
365, 128, 15, 
366, 128, 64, 
367, 128, 14, 
368, 128, 780, 
369, 128, 14, 
370, 128, 69, 
371, 128, 14, 
372, 128, 198, 
373, 128, 14, 
374, 128, 77, 
375, 128, 13, 
376, 128, 392, 
377, 128, 28, 
378, 128, 69, 
379, 128, 13, 
380, 128, 188, 
381, 128, 16, 
382, 128, 69, 
383, 128, 14, 
384, 128, 92359, 
385, 128, 29, 
386, 128, 94, 
387, 128, 20, 
388, 128, 204, 
389, 128, 23, 
390, 128, 124, 
391, 128, 28, 
392, 128, 556, 
393, 128, 15, 
394, 128, 65, 
395, 128, 14, 
396, 128, 187, 
397, 128, 23, 
398, 128, 91, 
399, 128, 21, 
400, 128, 787, 
401, 128, 15, 
402, 128, 70, 
403, 128, 14, 
404, 128, 178, 
405, 128, 15, 
406, 128, 65, 
407, 128, 14, 
408, 128, 373, 
409, 128, 21, 
410, 128, 83, 
411, 128, 23, 
412, 128, 179, 
413, 128, 20, 
414, 128, 78, 
415, 128, 16, 
416, 128, 1558, 
417, 128, 29, 
418, 128, 101, 
419, 128, 27, 
420, 128, 219, 
421, 128, 32, 
422, 128, 107, 
423, 128, 22, 
424, 128, 424, 
425, 128, 21, 
426, 128, 99, 
427, 128, 14, 
428, 128, 196, 
429, 128, 25, 
430, 128, 74, 
431, 128, 13, 
432, 128, 755, 
433, 128, 14, 
434, 128, 73, 
435, 128, 32, 
436, 128, 223, 
437, 128, 25, 
438, 128, 111, 
439, 128, 26, 
440, 128, 447, 
441, 128, 25, 
442, 128, 78, 
443, 128, 15, 
444, 128, 207, 
445, 128, 31, 
446, 128, 117, 
447, 128, 26, 
448, 128, 3034, 
449, 128, 23, 
450, 128, 83, 
451, 128, 21, 
452, 128, 211, 
453, 128, 22, 
454, 128, 86, 
455, 128, 14, 
456, 128, 401, 
457, 128, 22, 
458, 128, 86, 
459, 128, 23, 
460, 128, 215, 
461, 128, 22, 
462, 128, 79, 
463, 128, 15, 
464, 128, 783, 
465, 128, 27, 
466, 128, 101, 
467, 128, 25, 
468, 128, 210, 
469, 128, 20, 
470, 128, 90, 
471, 128, 14, 
472, 128, 399, 
473, 128, 23, 
474, 128, 107, 
475, 128, 20, 
476, 128, 227, 
477, 128, 24, 
478, 128, 110, 
479, 128, 28, 
480, 128, 1517, 
481, 128, 20, 
482, 128, 70, 
483, 128, 14, 
484, 128, 219, 
