dictSize,batchSize,appendTimeMillisec,
1, 256, 128, 
2, 256, 159, 
3, 256, 34, 
4, 256, 260, 
5, 256, 25, 
6, 256, 106, 
7, 256, 20, 
8, 256, 418, 
9, 256, 34, 
10, 256, 135, 
11, 256, 32, 
12, 256, 205, 
13, 256, 15, 
14, 256, 68, 
15, 256, 14, 
16, 256, 745, 
17, 256, 28, 
18, 256, 97, 
19, 256, 22, 
20, 256, 212, 
21, 256, 22, 
22, 256, 73, 
23, 256, 14, 
24, 256, 412, 
25, 256, 24, 
26, 256, 80, 
27, 256, 21, 
28, 256, 206, 
29, 256, 20, 
30, 256, 89, 
31, 256, 20, 
32, 256, 1552, 
33, 256, 21, 
34, 256, 77, 
35, 256, 14, 
36, 256, 182, 
37, 256, 14, 
38, 256, 86, 
39, 256, 24, 
40, 256, 422, 
41, 256, 23, 
42, 256, 76, 
43, 256, 14, 
44, 256, 190, 
45, 256, 26, 
46, 256, 110, 
47, 256, 21, 
48, 256, 789, 
49, 256, 17, 
50, 256, 86, 
51, 256, 14, 
52, 256, 190, 
53, 256, 24, 
54, 256, 96, 
55, 256, 20, 
56, 256, 414, 
57, 256, 15, 
58, 256, 65, 
59, 256, 14, 
60, 256, 193, 
61, 256, 14, 
62, 256, 73, 
63, 256, 20, 
64, 256, 3017, 
65, 256, 29, 
66, 256, 95, 
67, 256, 21, 
68, 256, 210, 
69, 256, 20, 
70, 256, 92, 
71, 256, 23, 
72, 256, 429, 
73, 256, 20, 
74, 256, 102, 
75, 256, 14, 
76, 256, 188, 
77, 256, 26, 
78, 256, 98, 
79, 256, 22, 
80, 256, 817, 
81, 256, 28, 
82, 256, 116, 
83, 256, 30, 
84, 256, 222, 
85, 256, 25, 
86, 256, 89, 
87, 256, 14, 
88, 256, 433, 
89, 256, 29, 
90, 256, 122, 
91, 256, 14, 
92, 256, 196, 
93, 256, 21, 
94, 256, 88, 
95, 256, 24, 
96, 256, 1558, 
97, 256, 15, 
98, 256, 72, 
99, 256, 22, 
100, 256, 189, 
101, 256, 14, 
102, 256, 67, 
103, 256, 14, 
104, 256, 403, 
105, 256, 30, 
106, 256, 81, 
107, 256, 14, 
108, 256, 185, 
109, 256, 20, 
110, 256, 94, 
111, 256, 21, 
112, 256, 806, 
113, 256, 15, 
114, 256, 73, 
115, 256, 21, 
116, 256, 210, 
117, 256, 22, 
118, 256, 89, 
119, 256, 14, 
120, 256, 396, 
121, 256, 20, 
122, 256, 98, 
123, 256, 27, 
124, 256, 204, 
125, 256, 26, 
126, 256, 111, 
127, 256, 14, 
128, 256, 5883, 
129, 256, 18, 
130, 256, 72, 
131, 256, 14, 
132, 256, 213, 
133, 256, 26, 
134, 256, 113, 
135, 256, 26, 
136, 256, 417, 
137, 256, 15, 
138, 256, 70, 
139, 256, 23, 
140, 256, 213, 
141, 256, 17, 
142, 256, 68, 
143, 256, 14, 
144, 256, 863, 
145, 256, 29, 
146, 256, 100, 
147, 256, 23, 
148, 256, 252, 
149, 256, 33, 
150, 256, 122, 
151, 256, 26, 
152, 256, 466, 
153, 256, 15, 
154, 256, 70, 
155, 256, 14, 
156, 256, 187, 
157, 256, 27, 
158, 256, 109, 
159, 256, 21, 
160, 256, 1552, 
161, 256, 35, 
162, 256, 108, 
163, 256, 21, 
164, 256, 219, 
165, 256, 26, 
166, 256, 111, 
167, 256, 26, 
168, 256, 454, 
169, 256, 23, 
170, 256, 82, 
171, 256, 21, 
172, 256, 206, 
173, 256, 16, 
174, 256, 63, 
175, 256, 14, 
176, 256, 778, 
177, 256, 28, 
178, 256, 103, 
179, 256, 21, 
180, 256, 206, 
181, 256, 24, 
182, 256, 100, 
183, 256, 21, 
184, 256, 427, 
185, 256, 29, 
186, 256, 100, 
187, 256, 22, 
188, 256, 181, 
189, 256, 20, 
190, 256, 87, 
191, 256, 20, 
192, 256, 2948, 
193, 256, 35, 
194, 256, 117, 
195, 256, 21, 
196, 256, 224, 
197, 256, 25, 
198, 256, 113, 
199, 256, 15, 
200, 256, 399, 
201, 256, 18, 
202, 256, 70, 
203, 256, 14, 
204, 256, 189, 
205, 256, 14, 
206, 256, 62, 
207, 256, 14, 
208, 256, 798, 
209, 256, 29, 
210, 256, 98, 
211, 256, 23, 
212, 256, 214, 
213, 256, 26, 
214, 256, 96, 
215, 256, 20, 
216, 256, 434, 
217, 256, 25, 
218, 256, 111, 
219, 256, 25, 
220, 256, 283, 
221, 256, 32, 
222, 256, 93, 
223, 256, 20, 
224, 256, 1544, 
225, 256, 22, 
226, 256, 116, 
227, 256, 14, 
228, 256, 215, 
229, 256, 17, 
230, 256, 64, 
231, 256, 13, 
232, 256, 385, 
233, 256, 24, 
234, 256, 69, 
235, 256, 14, 
236, 256, 159, 
237, 256, 15, 
238, 256, 87, 
239, 256, 21, 
240, 256, 770, 
241, 256, 30, 
242, 256, 107, 
243, 256, 25, 
244, 256, 214, 
245, 256, 26, 
246, 256, 93, 
247, 256, 25, 
248, 256, 453, 
249, 256, 19, 
250, 256, 92, 
251, 256, 16, 
252, 256, 205, 
253, 256, 26, 
254, 256, 100, 
255, 256, 23, 
256, 256, 183451, 
257, 256, 15, 
258, 256, 72, 
259, 256, 15, 
260, 256, 192, 
261, 256, 14, 
262, 256, 67, 
263, 256, 14, 
264, 256, 409, 
265, 256, 29, 
266, 256, 100, 
267, 256, 23, 
268, 256, 208, 
269, 256, 22, 
270, 256, 79, 
271, 256, 23, 
272, 256, 791, 
273, 256, 21, 
274, 256, 83, 
275, 256, 21, 
276, 256, 214, 
277, 256, 14, 
278, 256, 67, 
279, 256, 14, 
280, 256, 366, 
281, 256, 20, 
282, 256, 75, 
283, 256, 24, 
284, 256, 212, 
285, 256, 27, 
286, 256, 88, 
287, 256, 20, 
288, 256, 1614, 
289, 256, 23, 
290, 256, 100, 
291, 256, 23, 
292, 256, 235, 
293, 256, 25, 
294, 256, 108, 
295, 256, 26, 
296, 256, 454, 
297, 256, 23, 
298, 256, 101, 
299, 256, 27, 
300, 256, 203, 
301, 256, 21, 
302, 256, 84, 
303, 256, 22, 
304, 256, 853, 
305, 256, 28, 
306, 256, 112, 
307, 256, 22, 
308, 256, 189, 
309, 256, 20, 
310, 256, 93, 
311, 256, 24, 
312, 256, 449, 
313, 256, 34, 
314, 256, 91, 
315, 256, 15, 
316, 256, 219, 
317, 256, 20, 
318, 256, 64, 
319, 256, 14, 
320, 256, 3091, 
321, 256, 23, 
322, 256, 76, 
323, 256, 23, 
324, 256, 209, 
325, 256, 26, 
326, 256, 97, 
327, 256, 24, 
328, 256, 420, 
329, 256, 15, 
330, 256, 70, 
331, 256, 14, 
332, 256, 183, 
333, 256, 25, 
334, 256, 105, 
335, 256, 22, 
336, 256, 832, 
337, 256, 29, 
338, 256, 107, 
339, 256, 25, 
340, 256, 217, 
341, 256, 23, 
342, 256, 112, 
343, 256, 15, 
344, 256, 400, 
345, 256, 20, 
346, 256, 76, 
347, 256, 14, 
348, 256, 186, 
349, 256, 20, 
350, 256, 92, 
351, 256, 14, 
352, 256, 1508, 
353, 256, 14, 
354, 256, 69, 
355, 256, 14, 
356, 256, 185, 
357, 256, 15, 
358, 256, 64, 
359, 256, 14, 
360, 256, 374, 
361, 256, 23, 
362, 256, 107, 
363, 256, 27, 
364, 256, 198, 
365, 256, 15, 
366, 256, 73, 
367, 256, 14, 
368, 256, 770, 
369, 256, 14, 
370, 256, 68, 
371, 256, 14, 
372, 256, 198, 
373, 256, 20, 
374, 256, 95, 
375, 256, 13, 
376, 256, 392, 
377, 256, 27, 
378, 256, 94, 
379, 256, 15, 
380, 256, 238, 
381, 256, 33, 
382, 256, 101, 
383, 256, 24, 
384, 256, 5940, 
385, 256, 25, 
386, 256, 101, 
387, 256, 22, 
388, 256, 176, 
389, 256, 15, 
390, 256, 68, 
391, 256, 23, 
392, 256, 448, 
393, 256, 28, 
394, 256, 101, 
395, 256, 23, 
396, 256, 161, 
397, 256, 14, 
398, 256, 70, 
399, 256, 14, 
400, 256, 817, 
401, 256, 29, 
402, 256, 121, 
403, 256, 34, 
404, 256, 230, 
405, 256, 27, 
406, 256, 91, 
407, 256, 21, 
408, 256, 437, 
409, 256, 18, 
410, 256, 70, 
411, 256, 14, 
412, 256, 159, 
413, 256, 14, 
414, 256, 63, 
415, 256, 14, 
416, 256, 1422, 
417, 256, 37, 
418, 256, 105, 
419, 256, 22, 
420, 256, 206, 
421, 256, 24, 
422, 256, 112, 
423, 256, 15, 
424, 256, 392, 
425, 256, 41, 
426, 256, 140, 
427, 256, 28, 
428, 256, 222, 
429, 256, 37, 
430, 256, 82, 
431, 256, 22, 
432, 256, 820, 
433, 256, 30, 
434, 256, 117, 
435, 256, 25, 
436, 256, 223, 
437, 256, 26, 
438, 256, 91, 
439, 256, 15, 
440, 256, 422, 
441, 256, 18, 
442, 256, 70, 
443, 256, 14, 
444, 256, 220, 
445, 256, 32, 
446, 256, 96, 
447, 256, 21, 
448, 256, 3077, 
449, 256, 35, 
450, 256, 107, 
451, 256, 25, 
452, 256, 214, 
453, 256, 27, 
454, 256, 110, 
455, 256, 20, 
456, 256, 434, 
457, 256, 23, 
458, 256, 98, 
459, 256, 15, 
460, 256, 194, 
461, 256, 14, 
462, 256, 63, 
463, 256, 14, 
464, 256, 779, 
465, 256, 29, 
466, 256, 106, 
467, 256, 15, 
468, 256, 226, 
469, 256, 22, 
470, 256, 91, 
471, 256, 15, 
472, 256, 412, 
473, 256, 23, 
474, 256, 91, 
475, 256, 26, 
476, 256, 245, 
477, 256, 32, 
478, 256, 138, 
479, 256, 25, 
480, 256, 1621, 
481, 256, 31, 
482, 256, 103, 
483, 256, 24, 
484, 256, 235, 
485, 256, 32, 
486, 256, 110, 
487, 256, 23, 
488, 256, 471, 
489, 256, 26, 
490, 256, 115, 
491, 256, 26, 
492, 256, 205, 
493, 256, 21, 
494, 256, 84, 
495, 256, 20, 
496, 256, 753, 
497, 256, 28, 
498, 256, 103, 
499, 256, 24, 
500, 256, 206, 
501, 256, 14, 
502, 256, 85, 
503, 256, 22, 
504, 256, 421, 
505, 256, 26, 
506, 256, 85, 
507, 256, 22, 
508, 256, 206, 
509, 256, 22, 
510, 256, 88, 
511, 256, 14, 
512, 256, 373380, 
513, 256, 30, 
514, 256, 132, 
515, 256, 22, 
516, 256, 216, 
517, 256, 22, 
518, 256, 87, 
519, 256, 21, 
520, 256, 445, 
521, 256, 33, 
522, 256, 90, 
523, 256, 15, 
524, 256, 190, 
525, 256, 14, 
526, 256, 67, 
527, 256, 14, 
528, 256, 767, 
529, 256, 15, 
530, 256, 70, 
531, 256, 14, 
532, 256, 187, 
533, 256, 14, 
534, 256, 64, 
535, 256, 14, 
536, 256, 421, 
537, 256, 18, 
538, 256, 87, 
539, 256, 14, 
540, 256, 178, 
541, 256, 14, 
542, 256, 81, 
543, 256, 14, 
544, 256, 1432, 
545, 256, 21, 
546, 256, 83, 
547, 256, 14, 
548, 256, 182, 
549, 256, 14, 
550, 256, 75, 
551, 256, 13, 
552, 256, 378, 
553, 256, 22, 
554, 256, 90, 
555, 256, 16, 
556, 256, 186, 
557, 256, 14, 
558, 256, 66, 
559, 256, 13, 
560, 256, 806, 
561, 256, 20, 
562, 256, 118, 
563, 256, 24, 
564, 256, 260, 
565, 256, 29, 
566, 256, 87, 
567, 256, 28, 
568, 256, 430, 
569, 256, 20, 
570, 256, 83, 
