dictSize,batchSize,appendTimeMillisec,
1, 4096, 102, 
2, 4096, 136, 
3, 4096, 23, 
4, 4096, 224, 
5, 4096, 23, 
6, 4096, 112, 
7, 4096, 21, 
8, 4096, 437, 
9, 4096, 22, 
10, 4096, 88, 
11, 4096, 21, 
12, 4096, 209, 
13, 4096, 24, 
14, 4096, 89, 
15, 4096, 24, 
16, 4096, 871, 
17, 4096, 24, 
18, 4096, 85, 
19, 4096, 15, 
20, 4096, 183, 
21, 4096, 20, 
22, 4096, 83, 
23, 4096, 22, 
24, 4096, 418, 
25, 4096, 15, 
26, 4096, 72, 
27, 4096, 25, 
28, 4096, 187, 
29, 4096, 14, 
30, 4096, 67, 
31, 4096, 13, 
32, 4096, 1528, 
33, 4096, 20, 
34, 4096, 82, 
35, 4096, 14, 
36, 4096, 180, 
37, 4096, 14, 
38, 4096, 80, 
39, 4096, 14, 
40, 4096, 384, 
41, 4096, 22, 
42, 4096, 87, 
43, 4096, 23, 
44, 4096, 237, 
45, 4096, 26, 
46, 4096, 88, 
47, 4096, 21, 
48, 4096, 812, 
49, 4096, 19, 
50, 4096, 74, 
51, 4096, 14, 
52, 4096, 167, 
53, 4096, 14, 
54, 4096, 67, 
55, 4096, 14, 
56, 4096, 346, 
57, 4096, 21, 
58, 4096, 67, 
59, 4096, 14, 
60, 4096, 185, 
61, 4096, 17, 
62, 4096, 68, 
63, 4096, 14, 
64, 4096, 2898, 
65, 4096, 22, 
66, 4096, 89, 
67, 4096, 13, 
68, 4096, 172, 
69, 4096, 21, 
70, 4096, 87, 
71, 4096, 20, 
72, 4096, 426, 
73, 4096, 27, 
74, 4096, 101, 
75, 4096, 14, 
76, 4096, 205, 
77, 4096, 22, 
78, 4096, 76, 
79, 4096, 15, 
80, 4096, 762, 
81, 4096, 20, 
82, 4096, 91, 
83, 4096, 21, 
84, 4096, 202, 
85, 4096, 14, 
86, 4096, 74, 
87, 4096, 13, 
88, 4096, 396, 
89, 4096, 28, 
90, 4096, 80, 
91, 4096, 14, 
92, 4096, 192, 
93, 4096, 19, 
94, 4096, 82, 
95, 4096, 20, 
96, 4096, 1566, 
97, 4096, 28, 
98, 4096, 89, 
99, 4096, 24, 
100, 4096, 207, 
101, 4096, 24, 
102, 4096, 91, 
103, 4096, 20, 
104, 4096, 427, 
105, 4096, 22, 
106, 4096, 117, 
107, 4096, 24, 
108, 4096, 202, 
109, 4096, 26, 
110, 4096, 89, 
111, 4096, 25, 
112, 4096, 807, 
113, 4096, 19, 
114, 4096, 69, 
115, 4096, 14, 
116, 4096, 187, 
117, 4096, 22, 
118, 4096, 81, 
119, 4096, 14, 
120, 4096, 435, 
121, 4096, 27, 
122, 4096, 95, 
123, 4096, 20, 
124, 4096, 201, 
125, 4096, 20, 
126, 4096, 94, 
127, 4096, 16, 
128, 4096, 5789, 
129, 4096, 31, 
130, 4096, 112, 
131, 4096, 25, 
132, 4096, 214, 
133, 4096, 26, 
134, 4096, 98, 
135, 4096, 20, 
136, 4096, 423, 
137, 4096, 15, 
138, 4096, 68, 
139, 4096, 14, 
140, 4096, 205, 
141, 4096, 25, 
142, 4096, 87, 
143, 4096, 20, 
144, 4096, 798, 
145, 4096, 27, 
146, 4096, 96, 
147, 4096, 20, 
148, 4096, 226, 
149, 4096, 15, 
150, 4096, 65, 
151, 4096, 26, 
152, 4096, 433, 
153, 4096, 21, 
154, 4096, 67, 
155, 4096, 14, 
156, 4096, 174, 
157, 4096, 26, 
158, 4096, 83, 
159, 4096, 21, 
160, 4096, 1492, 
161, 4096, 26, 
162, 4096, 72, 
163, 4096, 20, 
164, 4096, 208, 
165, 4096, 19, 
166, 4096, 84, 
167, 4096, 23, 
168, 4096, 392, 
169, 4096, 26, 
170, 4096, 86, 
171, 4096, 15, 
172, 4096, 181, 
173, 4096, 14, 
174, 4096, 63, 
175, 4096, 14, 
176, 4096, 775, 
177, 4096, 15, 
178, 4096, 98, 
179, 4096, 27, 
180, 4096, 205, 
181, 4096, 23, 
182, 4096, 100, 
183, 4096, 21, 
184, 4096, 465, 
185, 4096, 33, 
186, 4096, 120, 
187, 4096, 17, 
