dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
1000000, 0, 0, 19168, 19168, 371946, 
1000000, 0, 0, 19168, 19168, 374938, 
1000000, 0, 0, 19168, 19168, 371118, 
1000000, 0, 0, 19168, 19168, 371611, 
1000000, 0, 0, 19168, 19168, 372954, 
1000000, 0, 0, 19168, 19168, 372446, 
1000000, 0, 0, 19168, 19168, 371288, 
1000000, 0, 0, 19168, 19168, 375348, 
1000000, 0, 0, 19168, 19168, 375449, 
1000000, 0, 0, 19168, 19168, 371747, 
1000000, 1, 2976, 19168, 22144, 449921, 
1000000, 1, 2656, 19168, 21824, 450089, 
1000000, 1, 2976, 19168, 22144, 447682, 
1000000, 1, 2976, 19168, 22144, 447093, 
1000000, 1, 2976, 19168, 22144, 446423, 
1000000, 1, 2976, 19168, 22144, 445253, 
1000000, 1, 2816, 19168, 21984, 445545, 
1000000, 1, 2976, 19168, 22144, 445692, 
1000000, 1, 2976, 19168, 22144, 446229, 
1000000, 1, 2976, 19168, 22144, 445135, 
1000000, 2, 5632, 19168, 24800, 519571, 
1000000, 2, 5792, 19168, 24960, 518993, 
1000000, 2, 5632, 19168, 24800, 518237, 
1000000, 2, 5568, 19168, 24736, 513802, 
1000000, 2, 5312, 19168, 24480, 515449, 
1000000, 2, 4928, 19168, 24096, 508442, 
1000000, 2, 5472, 19168, 24640, 521364, 
1000000, 2, 5792, 19168, 24960, 521206, 
1000000, 2, 5792, 19168, 24960, 522555, 
1000000, 2, 5888, 19168, 25056, 515825, 
1000000, 4, 11040, 19168, 30208, 657493, 
1000000, 4, 10944, 19168, 30112, 659488, 
1000000, 4, 11040, 19168, 30208, 665423, 
1000000, 4, 11040, 19168, 30208, 658228, 
1000000, 4, 11456, 19232, 30688, 664703, 
1000000, 4, 11040, 19168, 30208, 659990, 
1000000, 4, 10592, 19616, 30208, 661280, 
1000000, 4, 11200, 19168, 30368, 659810, 
1000000, 4, 10816, 19360, 30176, 661503, 
1000000, 4, 11136, 19360, 30496, 664661, 
1000000, 8, 20608, 19328, 39936, 927259, 
1000000, 8, 21152, 19136, 40288, 930769, 
1000000, 8, 21888, 19200, 41088, 938079, 
1000000, 8, 20928, 19200, 40128, 936906, 
1000000, 8, 21568, 19936, 41504, 952070, 
1000000, 8, 19360, 19392, 38752, 905662, 
1000000, 8, 20928, 18848, 39776, 897501, 
1000000, 8, 20448, 19200, 39648, 920486, 
1000000, 8, 21792, 19136, 40928, 930129, 
1000000, 8, 20960, 18912, 39872, 891734, 
1000000, 16, 38944, 19392, 58336, 1432863, 
1000000, 16, 41088, 19584, 60672, 1452171, 
1000000, 16, 40384, 19680, 60064, 1454467, 
1000000, 16, 40128, 19808, 59936, 1463358, 
1000000, 16, 41728, 19424, 61152, 1469950, 
1000000, 16, 40384, 19296, 59680, 1430978, 
1000000, 16, 41728, 19680, 61408, 1469950, 
1000000, 16, 39392, 19488, 58880, 1444872, 
1000000, 16, 40608, 19456, 60064, 1448817, 
1000000, 16, 40192, 19552, 59744, 1458568, 
1000000, 32, 77024, 20480, 97504, 2490180, 
1000000, 32, 74880, 20448, 95328, 2452848, 
1000000, 32, 76736, 19968, 96704, 2447959, 
1000000, 32, 77280, 19936, 97216, 2470993, 
1000000, 32, 79360, 19744, 99104, 2495445, 
1000000, 32, 75360, 20288, 95648, 2473366, 
1000000, 32, 76480, 19840, 96320, 2481282, 
1000000, 32, 77376, 19904, 97280, 2489935, 
1000000, 32, 76480, 20096, 96576, 2484463, 
1000000, 32, 78720, 19616, 98336, 2461959, 
