dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
1000, 0, 0, 10304, 10304, 261833, 
1000, 0, 0, 10304, 10304, 208548, 
1000, 0, 0, 9536, 9536, 193535, 
1000, 0, 0, 10176, 10176, 206352, 
1000, 0, 0, 10304, 10304, 208170, 
1000, 0, 0, 10304, 10304, 209707, 
1000, 0, 0, 10304, 10304, 208081, 
1000, 0, 0, 10176, 10176, 205644, 
1000, 0, 0, 10304, 10304, 207645, 
1000, 0, 0, 9536, 9536, 193342, 
1000, 1, 1376, 10304, 11680, 272709, 
1000, 1, 1376, 10304, 11680, 270994, 
1000, 1, 1376, 10304, 11680, 270258, 
1000, 1, 896, 10304, 11200, 267838, 
1000, 1, 1216, 10304, 11520, 269170, 
1000, 1, 1376, 10304, 11680, 269816, 
1000, 1, 896, 10304, 11200, 265824, 
1000, 1, 1376, 10176, 11552, 267150, 
1000, 1, 1376, 10304, 11680, 268256, 
1000, 1, 1056, 10304, 11360, 266014, 
1000, 2, 2272, 10304, 12576, 327742, 
1000, 2, 2592, 9792, 12384, 319657, 
1000, 2, 2048, 10304, 12352, 324710, 
1000, 2, 1952, 10304, 12256, 325541, 
1000, 2, 2592, 10304, 12896, 330424, 
1000, 2, 2112, 10304, 12416, 326544, 
1000, 2, 2688, 10304, 12992, 328239, 
1000, 2, 2688, 10304, 12992, 328342, 
1000, 2, 2368, 10304, 12672, 325597, 
1000, 2, 2592, 10304, 12896, 329597, 
1000, 4, 4160, 10304, 14464, 443343, 
1000, 4, 4672, 10368, 15040, 447575, 
1000, 4, 4576, 10304, 14880, 445989, 
1000, 4, 4384, 10304, 14688, 447992, 
1000, 4, 4480, 10176, 14656, 442912, 
1000, 4, 4480, 10304, 14784, 444557, 
1000, 4, 4416, 10368, 14784, 445671, 
1000, 4, 5056, 10304, 15360, 445684, 
1000, 4, 4736, 10496, 15232, 450414, 
1000, 4, 4960, 10304, 15264, 447915, 
1000, 8, 8768, 10496, 19264, 680623, 
1000, 8, 7968, 10464, 18432, 660845, 
1000, 8, 9152, 9952, 19104, 668403, 
1000, 8, 9088, 10688, 19776, 688720, 
1000, 8, 9248, 10464, 19712, 666806, 
1000, 8, 8576, 10272, 18848, 667704, 
1000, 8, 8064, 8224, 16288, 615881, 
1000, 8, 8032, 9984, 18016, 665686, 
1000, 8, 8288, 10560, 18848, 680525, 
1000, 8, 8768, 9056, 17824, 643814, 
1000, 16, 16032, 10816, 26848, 1129970, 
1000, 16, 15488, 10688, 26176, 1107460, 
1000, 16, 14368, 10176, 24544, 1096473, 
1000, 16, 14208, 10528, 24736, 1078916, 
1000, 16, 14688, 10080, 24768, 1078329, 
1000, 16, 14208, 10688, 24896, 1096963, 
1000, 16, 14592, 10240, 24832, 1089326, 
1000, 16, 15168, 10560, 25728, 1103026, 
1000, 16, 14336, 10848, 25184, 1120708, 
1000, 16, 15424, 10816, 26240, 1087277, 
1000, 32, 26880, 11808, 38688, 1955109, 
1000, 32, 26720, 10304, 37024, 1918005, 
1000, 32, 26080, 10848, 36928, 1923663, 
1000, 32, 25984, 10752, 36736, 1932185, 
1000, 32, 25280, 11584, 36864, 1939092, 
1000, 32, 26016, 11328, 37344, 1930392, 
1000, 32, 27200, 10976, 38176, 1930978, 
1000, 32, 25760, 11296, 37056, 1937367, 
1000, 32, 26368, 11104, 37472, 1929721, 
1000, 32, 26784, 11200, 37984, 1937863, 
