dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
100000, 0, 0, 13504, 13504, 262475, 
100000, 0, 0, 13504, 13504, 263776, 
100000, 0, 0, 13504, 13504, 263609, 
100000, 0, 0, 13504, 13504, 262083, 
100000, 0, 0, 13504, 13504, 262328, 
100000, 0, 0, 13504, 13504, 263250, 
100000, 0, 0, 13504, 13504, 262997, 
100000, 0, 0, 13504, 13504, 262189, 
100000, 0, 0, 13504, 13504, 262880, 
100000, 0, 0, 13504, 13504, 262255, 
100000, 1, 2336, 13504, 15840, 332157, 
100000, 1, 2496, 13504, 16000, 332665, 
100000, 1, 2496, 13504, 16000, 332855, 
100000, 1, 2496, 13504, 16000, 332669, 
100000, 1, 2496, 13504, 16000, 332264, 
100000, 1, 2496, 13504, 16000, 331536, 
100000, 1, 2496, 13504, 16000, 332580, 
100000, 1, 2496, 13504, 16000, 333265, 
100000, 1, 2496, 13504, 16000, 333700, 
100000, 1, 2496, 13504, 16000, 333082, 
100000, 2, 4928, 13504, 18432, 399157, 
100000, 2, 4832, 13504, 18336, 401009, 
100000, 2, 4768, 13504, 18272, 398152, 
100000, 2, 4832, 13504, 18336, 400569, 
100000, 2, 4928, 13504, 18432, 399974, 
100000, 2, 4288, 13504, 17792, 393764, 
100000, 2, 4928, 13504, 18432, 400405, 
100000, 2, 4832, 13504, 18336, 400796, 
100000, 2, 4832, 13504, 18336, 399488, 
100000, 2, 4832, 13504, 18336, 400618, 
100000, 4, 9536, 13568, 23104, 537794, 
100000, 4, 9216, 13504, 22720, 529404, 
100000, 4, 9472, 13472, 22944, 515941, 
100000, 4, 7776, 13568, 21344, 524720, 
100000, 4, 9376, 13504, 22880, 531195, 
100000, 4, 9536, 13504, 23040, 533169, 
100000, 4, 9056, 13472, 22528, 521330, 
100000, 4, 8832, 13472, 22304, 509942, 
100000, 4, 9216, 13952, 23168, 543079, 
100000, 4, 8800, 13504, 22304, 529937, 
100000, 8, 17984, 13536, 31520, 782280, 
100000, 8, 17664, 13536, 31200, 780036, 
100000, 8, 17984, 13504, 31488, 774467, 
100000, 8, 17984, 13536, 31520, 782710, 
100000, 8, 16928, 13536, 30464, 775049, 
100000, 8, 17824, 13728, 31552, 795517, 
100000, 8, 15648, 12800, 28448, 760160, 
100000, 8, 18304, 13504, 31808, 785657, 
100000, 8, 15808, 13536, 29344, 767529, 
100000, 8, 17120, 13120, 30240, 770740, 
100000, 16, 32960, 14304, 47264, 1282196, 
100000, 16, 32800, 13952, 46752, 1270232, 
100000, 16, 32320, 14368, 46688, 1274140, 
100000, 16, 33120, 13984, 47104, 1274782, 
100000, 16, 31520, 13728, 45248, 1258646, 
100000, 16, 33280, 13728, 47008, 1268367, 
100000, 16, 32800, 14304, 47104, 1283732, 
100000, 16, 33760, 14560, 48320, 1293348, 
100000, 16, 31520, 13952, 45472, 1282273, 
100000, 16, 29984, 13728, 43712, 1251548, 
100000, 32, 60512, 14880, 75392, 2249694, 
100000, 32, 59552, 13664, 73216, 2204265, 
100000, 32, 61472, 14336, 75808, 2237236, 
100000, 32, 61472, 14752, 76224, 2256755, 
100000, 32, 61536, 14624, 76160, 2258704, 
100000, 32, 59776, 15040, 74816, 2236951, 
100000, 32, 60096, 14880, 74976, 2252590, 
100000, 32, 59616, 14496, 74112, 2245362, 
100000, 32, 60992, 14496, 75488, 2250352, 
100000, 32, 61632, 14816, 76448, 2252051, 
