dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
1048575, 0, 0, 43040, 43040, 940755, 
1048575, 0, 0, 43040, 43040, 834716, 
1048575, 0, 0, 42784, 42784, 832411, 
1048575, 0, 0, 42912, 42912, 834181, 
1048575, 0, 0, 43040, 43040, 834666, 
1048575, 0, 0, 43040, 43040, 834438, 
1048575, 0, 0, 43040, 43040, 833678, 
1048575, 0, 0, 42912, 42912, 830824, 
1048575, 0, 0, 43040, 43040, 832461, 
1048575, 0, 0, 42560, 42560, 826990, 
1048575, 1, 2976, 43040, 46016, 907120, 
1048575, 1, 2816, 43040, 45856, 905274, 
1048575, 1, 2656, 43040, 45696, 908001, 
1048575, 1, 2976, 43040, 46016, 908761, 
1048575, 1, 2976, 43040, 46016, 909472, 
1048575, 1, 2816, 43040, 45856, 908568, 
1048575, 1, 2816, 42912, 45728, 905423, 
1048575, 1, 2976, 42912, 45888, 907323, 
1048575, 1, 2816, 43040, 45856, 904685, 
1048575, 1, 2816, 43040, 45856, 908103, 
1048575, 2, 5632, 43040, 48672, 980477, 
1048575, 2, 5632, 42912, 48544, 975945, 
1048575, 2, 5728, 43040, 48768, 983670, 
1048575, 2, 5248, 43040, 48288, 972225, 
1048575, 2, 5632, 43040, 48672, 977309, 
1048575, 2, 4992, 43040, 48032, 975200, 
1048575, 2, 4992, 43040, 48032, 975230, 
1048575, 2, 5792, 43040, 48832, 981212, 
1048575, 2, 5472, 43040, 48512, 976526, 
1048575, 2, 5888, 43040, 48928, 977278, 
1048575, 4, 10720, 43040, 53760, 1115186, 
1048575, 4, 10304, 43040, 53344, 1115419, 
1048575, 4, 10976, 43104, 54080, 1131957, 
1048575, 4, 11040, 43040, 54080, 1116758, 
1048575, 4, 10944, 42912, 53856, 1115627, 
1048575, 4, 10976, 43104, 54080, 1116623, 
1048575, 4, 11200, 43040, 54240, 1118104, 
1048575, 4, 10816, 43008, 53824, 1122862, 
1048575, 4, 9376, 43104, 52480, 1106985, 
1048575, 4, 9984, 43040, 53024, 1114480, 
1048575, 8, 20352, 43008, 63360, 1383197, 
1048575, 8, 21056, 43008, 64064, 1380162, 
1048575, 8, 20288, 42848, 63136, 1359625, 
1048575, 8, 21248, 43712, 64960, 1394922, 
1048575, 8, 20512, 43072, 63584, 1392485, 
1048575, 8, 20448, 43200, 63648, 1392151, 
1048575, 8, 21248, 42208, 63456, 1375319, 
1048575, 8, 20928, 43072, 64000, 1389928, 
1048575, 8, 21888, 43072, 64960, 1396364, 
1048575, 8, 20896, 42400, 63296, 1368607, 
1048575, 16, 40032, 43328, 83360, 1904248, 
1048575, 16, 39744, 43744, 83488, 1913657, 
1048575, 16, 40512, 43104, 83616, 1906914, 
1048575, 16, 39232, 43296, 82528, 1907116, 
1048575, 16, 40928, 42944, 83872, 1900745, 
1048575, 16, 42208, 43328, 85536, 1919460, 
1048575, 16, 38784, 42912, 81696, 1883337, 
1048575, 16, 40192, 43712, 83904, 1909071, 
1048575, 16, 40224, 43872, 84096, 1922361, 
1048575, 16, 40896, 43456, 84352, 1913283, 
1048575, 32, 78624, 44224, 122848, 2981352, 
1048575, 32, 78464, 43520, 121984, 2953548, 
1048575, 32, 74528, 43616, 118144, 2919554, 
1048575, 32, 76960, 44320, 121280, 2971862, 
1048575, 32, 77792, 43808, 121600, 2962603, 
1048575, 32, 76992, 44128, 121120, 3004257, 
1048575, 32, 78144, 43520, 121664, 2978199, 
1048575, 32, 77600, 44096, 121696, 2949701, 
1048575, 32, 75904, 43808, 119712, 2939147, 
1048575, 32, 75136, 44288, 119424, 2960813, 
