dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
8191, 0, 0, 21184, 21184, 418493, 
8191, 0, 0, 22208, 22208, 438834, 
8191, 0, 0, 21184, 21184, 419349, 
8191, 0, 0, 21184, 21184, 419718, 
8191, 0, 0, 22208, 22208, 437924, 
8191, 0, 0, 22208, 22208, 439296, 
8191, 0, 0, 22208, 22208, 437992, 
8191, 0, 0, 21184, 21184, 418849, 
8191, 0, 0, 22208, 22208, 439618, 
8191, 0, 0, 21184, 21184, 417034, 
8191, 1, 1696, 22208, 23904, 502019, 
8191, 1, 1856, 22208, 24064, 502827, 
8191, 1, 1856, 21184, 23040, 482157, 
8191, 1, 1376, 22208, 23584, 501456, 
8191, 1, 1216, 22208, 23424, 497485, 
8191, 1, 1856, 22208, 24064, 503328, 
8191, 1, 1856, 21184, 23040, 483994, 
8191, 1, 1696, 21184, 22880, 480776, 
8191, 1, 1696, 21184, 22880, 481922, 
8191, 1, 1696, 22208, 23904, 500796, 
8191, 2, 3232, 22208, 25440, 565992, 
8191, 2, 3648, 21184, 24832, 545414, 
8191, 2, 3392, 22208, 25600, 566237, 
8191, 2, 3552, 22208, 25760, 567974, 
8191, 2, 3072, 21184, 24256, 542506, 
8191, 2, 3552, 22208, 25760, 569404, 
8191, 2, 3232, 22208, 25440, 564017, 
8191, 2, 3648, 21184, 24832, 544087, 
8191, 2, 3552, 22208, 25760, 564220, 
8191, 2, 2848, 21184, 24032, 537001, 
8191, 4, 5920, 22208, 28128, 682325, 
8191, 4, 6560, 22208, 28768, 688643, 
8191, 4, 6560, 21184, 27744, 666201, 
8191, 4, 5440, 21184, 26624, 657648, 
8191, 4, 6560, 21184, 27744, 665400, 
8191, 4, 6656, 22176, 28832, 677625, 
8191, 4, 6400, 22208, 28608, 684275, 
8191, 4, 6720, 21184, 27904, 666889, 
8191, 4, 6976, 21184, 28160, 665150, 
8191, 4, 6560, 22208, 28768, 685123, 
8191, 8, 11040, 22208, 33248, 920160, 
8191, 8, 11232, 22208, 33440, 918846, 
8191, 8, 12768, 21216, 33984, 895507, 
8191, 8, 12448, 22240, 34688, 921183, 
8191, 8, 12512, 22784, 35296, 942448, 
8191, 8, 12192, 21152, 33344, 896039, 
8191, 8, 12128, 20608, 32736, 886118, 
8191, 8, 11552, 21248, 32800, 904290, 
8191, 8, 10816, 21376, 32192, 906478, 
8191, 8, 13088, 20832, 33920, 890916, 
8191, 16, 23168, 22848, 46016, 1395600, 
8191, 16, 22528, 21760, 44288, 1367326, 
8191, 16, 22272, 21536, 43808, 1382820, 
8191, 16, 22848, 21952, 44800, 1376063, 
8191, 16, 24128, 21728, 45856, 1364043, 
8191, 16, 23008, 21824, 44832, 1373868, 
8191, 16, 23072, 21056, 44128, 1368450, 
8191, 16, 21664, 21632, 43296, 1360257, 
8191, 16, 23392, 21152, 44544, 1342119, 
8191, 16, 23488, 22240, 45728, 1374005, 
8191, 32, 39584, 22944, 62528, 2257915, 
8191, 32, 40928, 22048, 62976, 2261547, 
8191, 32, 42144, 22752, 64896, 2278066, 
8191, 32, 39360, 22208, 61568, 2245043, 
8191, 32, 41824, 22368, 64192, 2272221, 
8191, 32, 42368, 23040, 65408, 2276846, 
8191, 32, 41472, 22336, 63808, 2258937, 
8191, 32, 42624, 22528, 65152, 2393901, 
8191, 32, 40768, 23456, 64224, 2333888, 
8191, 32, 41440, 23104, 64544, 2351689, 
