dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
524287, 0, 0, 38656, 38656, 768376, 
524287, 0, 0, 39680, 39680, 781725, 
524287, 0, 0, 38432, 38432, 751376, 
524287, 0, 0, 38432, 38432, 751244, 
524287, 0, 0, 39680, 39680, 778769, 
524287, 0, 0, 39680, 39680, 774464, 
524287, 0, 0, 39680, 39680, 772563, 
524287, 0, 0, 38432, 38432, 748581, 
524287, 0, 0, 39680, 39680, 777804, 
524287, 0, 0, 38432, 38432, 748709, 
524287, 1, 2816, 39680, 42496, 847907, 
524287, 1, 2656, 39680, 42336, 844462, 
524287, 1, 2496, 38656, 41152, 820695, 
524287, 1, 2816, 39680, 42496, 841923, 
524287, 1, 2816, 39680, 42496, 844497, 
524287, 1, 2656, 39680, 42336, 843869, 
524287, 1, 2656, 38432, 41088, 814384, 
524287, 1, 2816, 38432, 41248, 817652, 
524287, 1, 2656, 38560, 41216, 824303, 
524287, 1, 2656, 39680, 42336, 848856, 
524287, 2, 5312, 39680, 44992, 919341, 
524287, 2, 5312, 38432, 43744, 894584, 
524287, 2, 5408, 39680, 45088, 917654, 
524287, 2, 4928, 39680, 44608, 914125, 
524287, 2, 5312, 38560, 43872, 896818, 
524287, 2, 4672, 39680, 44352, 911731, 
524287, 2, 4832, 39680, 44512, 911736, 
524287, 2, 5472, 38656, 44128, 896449, 
524287, 2, 5152, 39680, 44832, 915843, 
524287, 2, 5568, 38656, 44224, 894566, 
524287, 4, 9920, 39680, 49600, 1051599, 
524287, 4, 9600, 39680, 49280, 1047132, 
524287, 4, 10336, 38624, 48960, 1021618, 
524287, 4, 10240, 38656, 48896, 1033439, 
524287, 4, 10304, 38432, 48736, 1030375, 
524287, 4, 10496, 39648, 50144, 1043348, 
524287, 4, 10560, 39680, 50240, 1056234, 
524287, 4, 10016, 38624, 48640, 1020532, 
524287, 4, 9600, 38656, 48256, 1025979, 
524287, 4, 9440, 39680, 49120, 1051204, 
524287, 8, 18816, 39648, 58464, 1317206, 
524287, 8, 20096, 39872, 59968, 1333239, 
524287, 8, 18848, 38368, 57216, 1272290, 
524287, 8, 19808, 39712, 59520, 1315528, 
524287, 8, 19392, 39712, 59104, 1311265, 
524287, 8, 19328, 38688, 58016, 1286492, 
524287, 8, 20128, 38464, 58592, 1300781, 
524287, 8, 20448, 38464, 58912, 1291996, 
524287, 8, 20768, 38592, 59360, 1303169, 
524287, 8, 19456, 38400, 57856, 1289393, 
524287, 16, 36992, 39840, 76832, 1831979, 
524287, 16, 38144, 39008, 77152, 1812715, 
524287, 16, 38112, 38752, 76864, 1887376, 
524287, 16, 35552, 38912, 74464, 1817820, 
524287, 16, 37568, 38816, 76384, 1833380, 
524287, 16, 38848, 38720, 77568, 1834895, 
524287, 16, 36544, 38784, 75328, 1813841, 
524287, 16, 37472, 38976, 76448, 1835993, 
524287, 16, 36704, 38432, 75136, 1825370, 
524287, 16, 37952, 38848, 76800, 1855909, 
524287, 32, 73664, 41536, 115200, 2909704, 
524287, 32, 72384, 39424, 111808, 2824277, 
524287, 32, 67648, 40960, 108608, 2841849, 
524287, 32, 72704, 39360, 112064, 2846641, 
524287, 32, 71232, 39968, 111200, 2865598, 
524287, 32, 72032, 41024, 113056, 2869776, 
524287, 32, 72384, 39360, 111744, 2866749, 
524287, 32, 71360, 39616, 110976, 2883130, 
524287, 32, 71744, 40608, 112352, 2845055, 
524287, 32, 69536, 40704, 110240, 2839680, 
