dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
32767, 0, 0, 27520, 27520, 536635, 
32767, 0, 0, 27520, 27520, 536689, 
32767, 0, 0, 27040, 27040, 528643, 
32767, 0, 0, 27520, 27520, 536648, 
32767, 0, 0, 27520, 27520, 537097, 
32767, 0, 0, 27520, 27520, 537910, 
32767, 0, 0, 27520, 27520, 537320, 
32767, 0, 0, 27520, 27520, 537272, 
32767, 0, 0, 27520, 27520, 538280, 
32767, 0, 0, 26784, 26784, 522356, 
32767, 1, 2176, 27520, 29696, 605123, 
32767, 1, 1696, 27520, 29216, 601786, 
32767, 1, 2016, 27520, 29536, 602991, 
32767, 1, 1056, 27520, 28576, 595542, 
32767, 1, 1216, 27520, 28736, 597501, 
32767, 1, 2176, 27520, 29696, 604487, 
32767, 1, 2016, 27520, 29536, 603038, 
32767, 1, 2016, 27520, 29536, 603043, 
32767, 1, 2016, 27520, 29536, 603252, 
32767, 1, 2016, 27520, 29536, 604505, 
32767, 2, 4288, 27520, 31808, 668520, 
32767, 2, 3232, 27520, 30752, 663263, 
32767, 2, 4192, 27520, 31712, 671966, 
32767, 2, 3872, 27520, 31392, 668554, 
32767, 2, 4032, 27520, 31552, 729117, 
32767, 2, 3712, 27520, 31232, 667786, 
32767, 2, 4032, 27520, 31552, 669130, 
32767, 2, 4192, 27520, 31712, 674000, 
32767, 2, 4192, 27520, 31712, 675403, 
32767, 2, 4032, 27520, 31552, 674421, 
32767, 4, 7936, 27584, 35520, 806955, 
32767, 4, 8096, 27520, 35616, 870260, 
32767, 4, 8000, 27520, 35520, 806110, 
32767, 4, 7744, 27520, 35264, 889531, 
32767, 4, 7872, 27488, 35360, 784562, 
32767, 4, 8000, 27520, 35520, 813714, 
32767, 4, 7936, 27488, 35424, 800540, 
32767, 4, 8256, 27968, 36224, 825277, 
32767, 4, 7616, 27840, 35456, 810122, 
32767, 4, 7680, 27520, 35200, 805574, 
32767, 8, 14368, 27552, 41920, 1042776, 
32767, 8, 14432, 27520, 41952, 1076421, 
32767, 8, 14624, 27808, 42432, 1253589, 
32767, 8, 13152, 27840, 40992, 1106251, 
32767, 8, 15232, 27680, 42912, 1052476, 
32767, 8, 13632, 27712, 41344, 1146122, 
32767, 8, 15168, 26560, 41728, 1067337, 
32767, 8, 15488, 28576, 44064, 1069876, 
32767, 8, 15072, 27712, 42784, 1136471, 
32767, 8, 14272, 26752, 41024, 1024395, 
32767, 16, 28832, 27456, 56288, 1535038, 
32767, 16, 27968, 28000, 55968, 1632927, 
32767, 16, 27712, 27200, 54912, 1600419, 
32767, 16, 27008, 28064, 55072, 1588166, 
32767, 16, 26752, 27456, 54208, 1638283, 
32767, 16, 27968, 28288, 56256, 1639810, 
32767, 16, 27936, 27008, 54944, 1523557, 
32767, 16, 28288, 27808, 56096, 1545274, 
32767, 16, 28192, 27776, 55968, 1617853, 
32767, 16, 26592, 28064, 54656, 1738521, 
32767, 32, 51424, 28480, 79904, 2709318, 
32767, 32, 52800, 27616, 80416, 2575398, 
32767, 32, 52704, 28672, 81376, 2675043, 
32767, 32, 52064, 28320, 80384, 2685474, 
32767, 32, 51008, 28576, 79584, 2565099, 
32767, 32, 51008, 28416, 79424, 2639829, 
32767, 32, 49088, 28352, 77440, 2565368, 
32767, 32, 50368, 28640, 79008, 2610305, 
32767, 32, 50464, 29216, 79680, 2520755, 
32767, 32, 50464, 28960, 79424, 2559457, 
