dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
4095, 0, 0, 18720, 18720, 372607, 
4095, 0, 0, 19744, 19744, 391853, 
4095, 0, 0, 18112, 18112, 359048, 
4095, 0, 0, 18752, 18752, 372010, 
4095, 0, 0, 19744, 19744, 391793, 
4095, 0, 0, 19744, 19744, 391273, 
4095, 0, 0, 19744, 19744, 390694, 
4095, 0, 0, 18720, 18720, 371168, 
4095, 0, 0, 19744, 19744, 390834, 
4095, 0, 0, 17728, 17728, 350451, 
4095, 1, 1696, 19744, 21440, 456310, 
4095, 1, 1696, 19744, 21440, 455961, 
4095, 1, 1056, 18720, 19776, 430441, 
4095, 1, 1536, 19744, 21280, 455306, 
4095, 1, 1536, 19744, 21280, 455805, 
4095, 1, 1536, 19744, 21280, 453844, 
4095, 1, 1696, 18720, 20416, 435379, 
4095, 1, 1696, 18720, 20416, 435389, 
4095, 1, 1536, 18720, 20256, 434765, 
4095, 1, 1056, 19744, 20800, 450940, 
4095, 2, 3168, 19744, 22912, 515225, 
4095, 2, 3328, 18752, 22080, 497067, 
4095, 2, 3232, 19744, 22976, 518182, 
4095, 2, 3072, 19744, 22816, 515222, 
4095, 2, 2912, 18720, 21632, 494134, 
4095, 2, 3328, 19744, 23072, 514789, 
4095, 2, 3232, 19744, 22976, 517380, 
4095, 2, 3232, 18720, 21952, 496726, 
4095, 2, 1632, 19744, 21376, 505512, 
4095, 2, 3328, 18720, 22048, 495253, 
4095, 4, 6080, 19744, 25824, 638469, 
4095, 4, 5856, 19712, 25568, 628793, 
4095, 4, 6240, 18720, 24960, 622748, 
4095, 4, 5792, 18688, 24480, 598296, 
4095, 4, 6016, 18816, 24832, 621817, 
4095, 4, 5600, 19744, 25344, 635999, 
4095, 4, 6336, 19712, 26048, 630667, 
4095, 4, 5216, 18688, 23904, 601616, 
4095, 4, 6336, 18720, 25056, 616789, 
4095, 4, 6112, 19808, 25920, 639978, 
4095, 8, 11712, 20032, 31744, 881669, 
4095, 8, 10624, 20288, 30912, 867102, 
4095, 8, 11072, 18336, 29408, 832544, 
4095, 8, 10048, 19776, 29824, 860913, 
4095, 8, 10432, 19808, 30240, 874044, 
4095, 8, 11488, 19008, 30496, 850527, 
4095, 8, 10208, 17728, 27936, 832598, 
4095, 8, 9632, 18912, 28544, 845222, 
4095, 8, 10656, 18720, 29376, 853898, 
4095, 8, 10912, 18272, 29184, 841111, 
4095, 16, 20032, 20000, 40032, 1324737, 
4095, 16, 19264, 19072, 38336, 1288832, 
4095, 16, 21184, 18592, 39776, 1295779, 
4095, 16, 18656, 18944, 37600, 1304786, 
4095, 16, 20768, 18752, 39520, 1299014, 
4095, 16, 19424, 19200, 38624, 1296940, 
4095, 16, 18592, 18368, 36960, 1274990, 
4095, 16, 20736, 19040, 39776, 1312772, 
4095, 16, 19648, 19264, 38912, 1298234, 
4095, 16, 20704, 19200, 39904, 1287284, 
4095, 32, 37504, 20320, 57824, 2199897, 
4095, 32, 34688, 19488, 54176, 2168799, 
4095, 32, 36960, 20224, 57184, 2196603, 
4095, 32, 35424, 19424, 54848, 2164409, 
4095, 32, 35744, 19616, 55360, 2178601, 
4095, 32, 35328, 20352, 55680, 2170967, 
4095, 32, 36224, 19840, 56064, 2154424, 
4095, 32, 34944, 19200, 54144, 2133571, 
4095, 32, 34688, 20704, 55392, 2170159, 
4095, 32, 36544, 21152, 57696, 2191689, 
