dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
1023, 0, 0, 14080, 14080, 280749, 
1023, 0, 0, 15072, 15072, 300774, 
1023, 0, 0, 12960, 12960, 257658, 
1023, 0, 0, 13440, 13440, 266980, 
1023, 0, 0, 15072, 15072, 299918, 
1023, 0, 0, 15072, 15072, 300725, 
1023, 0, 0, 15072, 15072, 300218, 
1023, 0, 0, 13696, 13696, 271893, 
1023, 0, 0, 15072, 15072, 299494, 
1023, 0, 0, 12832, 12832, 253881, 
1023, 1, 1376, 15072, 16448, 362171, 
1023, 1, 1376, 15072, 16448, 361378, 
1023, 1, 1056, 14048, 15104, 338327, 
1023, 1, 1216, 15072, 16288, 360888, 
1023, 1, 1056, 15072, 16128, 358473, 
1023, 1, 1216, 15072, 16288, 359628, 
1023, 1, 416, 13568, 13984, 322756, 
1023, 1, 896, 13696, 14592, 329603, 
1023, 1, 1376, 14080, 15456, 340260, 
1023, 1, 1376, 15072, 16448, 359657, 
1023, 2, 2592, 15072, 17664, 420317, 
1023, 2, 2592, 13440, 16032, 387043, 
1023, 2, 2592, 15072, 17664, 419317, 
1023, 2, 2528, 15072, 17600, 417163, 
1023, 2, 2368, 14080, 16448, 395980, 
1023, 2, 2688, 15072, 17760, 418537, 
1023, 2, 2592, 15072, 17664, 420932, 
1023, 2, 2688, 14048, 16736, 398581, 
1023, 2, 2592, 15072, 17664, 420451, 
1023, 2, 2688, 14048, 16736, 397388, 
1023, 4, 5056, 15072, 20128, 537326, 
1023, 4, 4960, 15072, 20032, 538139, 
1023, 4, 5056, 14016, 19072, 509430, 
1023, 4, 4256, 14240, 18496, 516965, 
1023, 4, 4800, 13568, 18368, 507977, 
1023, 4, 4256, 15040, 19296, 525728, 
1023, 4, 5056, 15040, 20096, 529704, 
1023, 4, 4000, 14048, 18048, 510523, 
1023, 4, 4320, 14048, 18368, 511717, 
1023, 4, 4736, 15072, 19808, 532572, 
1023, 8, 8608, 15584, 24192, 777286, 
1023, 8, 8768, 15104, 23872, 750021, 
1023, 8, 8288, 13600, 21888, 714367, 
1023, 8, 8128, 15360, 23488, 751380, 
1023, 8, 7744, 15232, 22976, 746085, 
1023, 8, 8288, 14208, 22496, 739073, 
1023, 8, 7712, 11904, 19616, 694506, 
1023, 8, 8384, 13600, 21984, 716026, 
1023, 8, 8768, 14112, 22880, 728102, 
1023, 8, 8768, 12608, 21376, 700686, 
1023, 16, 14208, 15680, 29888, 1190898, 
1023, 16, 15648, 14240, 29888, 1167730, 
1023, 16, 15744, 13440, 29184, 1147358, 
1023, 16, 13792, 14528, 28320, 1158282, 
1023, 16, 15008, 13184, 28192, 1148533, 
1023, 16, 14048, 14304, 28352, 1149845, 
1023, 16, 15968, 13312, 29280, 1168174, 
1023, 16, 15008, 14336, 29344, 1155446, 
1023, 16, 15808, 13952, 29760, 1163544, 
1023, 16, 14336, 14368, 28704, 1189161, 
1023, 32, 27360, 17056, 44416, 2060046, 
1023, 32, 27008, 13920, 40928, 1999401, 
1023, 32, 25024, 16160, 41184, 2011495, 
1023, 32, 25504, 14944, 40448, 2000773, 
1023, 32, 26848, 14752, 41600, 1995880, 
1023, 32, 26464, 15840, 42304, 2022593, 
1023, 32, 26464, 14784, 41248, 1990995, 
1023, 32, 27968, 14688, 42656, 1999863, 
1023, 32, 25248, 16288, 41536, 2024764, 
1023, 32, 26848, 16160, 43008, 2042664, 
