dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
2047, 0, 0, 16384, 16384, 328085, 
2047, 0, 0, 17408, 17408, 349214, 
2047, 0, 0, 15520, 15520, 310897, 
2047, 0, 0, 16128, 16128, 323179, 
2047, 0, 0, 17408, 17408, 349354, 
2047, 0, 0, 17408, 17408, 348012, 
2047, 0, 0, 17408, 17408, 346863, 
2047, 0, 0, 16128, 16128, 321194, 
2047, 0, 0, 17408, 17408, 347324, 
2047, 0, 0, 15296, 15296, 304176, 
2047, 1, 1376, 17408, 18784, 409943, 
2047, 1, 1536, 17408, 18944, 411584, 
2047, 1, 1536, 16384, 17920, 391061, 
2047, 1, 1216, 17408, 18624, 408483, 
2047, 1, 1536, 17408, 18944, 412223, 
2047, 1, 1536, 17408, 18944, 411695, 
2047, 1, 1216, 16128, 17344, 383988, 
2047, 1, 1536, 16256, 17792, 387844, 
2047, 1, 1536, 16384, 17920, 390294, 
2047, 1, 1216, 17408, 18624, 408164, 
2047, 2, 2528, 17408, 19936, 467484, 
2047, 2, 1632, 15648, 17280, 427089, 
2047, 2, 2752, 17408, 20160, 468428, 
2047, 2, 2528, 17408, 19936, 464179, 
2047, 2, 2592, 16384, 18976, 444893, 
2047, 2, 1952, 17408, 19360, 460245, 
2047, 2, 2368, 17408, 19776, 461883, 
2047, 2, 2432, 16384, 18816, 446749, 
2047, 2, 2752, 17408, 20160, 468080, 
2047, 2, 2432, 16384, 18816, 444799, 
2047, 4, 4384, 17408, 21792, 582024, 
2047, 4, 5376, 17408, 22784, 584885, 
2047, 4, 4800, 16384, 21184, 563269, 
2047, 4, 5536, 16352, 21888, 559812, 
2047, 4, 5696, 16384, 22080, 567845, 
2047, 4, 5280, 17408, 22688, 587342, 
2047, 4, 4640, 17408, 22048, 582532, 
2047, 4, 5536, 16576, 22112, 574733, 
2047, 4, 5056, 16576, 21632, 569835, 
2047, 4, 4896, 17376, 22272, 574333, 
2047, 8, 9472, 17568, 27040, 818786, 
2047, 8, 9888, 17344, 27232, 800447, 
2047, 8, 9280, 15776, 25056, 790303, 
2047, 8, 9888, 17344, 27232, 796703, 
2047, 8, 9696, 17376, 27072, 814602, 
2047, 8, 10048, 16640, 26688, 813134, 
2047, 8, 9632, 14016, 23648, 736010, 
2047, 8, 9376, 15616, 24992, 770146, 
2047, 8, 9952, 16352, 26304, 786809, 
2047, 8, 10528, 15232, 25760, 778130, 
2047, 16, 17408, 17760, 35168, 1263505, 
2047, 16, 18208, 16768, 34976, 1246795, 
2047, 16, 17792, 16288, 34080, 1245862, 
2047, 16, 16864, 17120, 33984, 1226732, 
2047, 16, 17312, 15936, 33248, 1209763, 
2047, 16, 17344, 16736, 34080, 1226161, 
2047, 16, 17760, 15776, 33536, 1205201, 
2047, 16, 19168, 16768, 35936, 1259052, 
2047, 16, 17056, 16448, 33504, 1236624, 
2047, 16, 16992, 16640, 33632, 1247839, 
2047, 32, 31104, 19264, 50368, 2141230, 
2047, 32, 32288, 16000, 48288, 2098195, 
2047, 32, 32384, 18304, 50688, 2143756, 
2047, 32, 30624, 17280, 47904, 2108579, 
2047, 32, 31552, 17824, 49376, 2133014, 
2047, 32, 30976, 18912, 49888, 2137863, 
2047, 32, 31680, 17408, 49088, 2124772, 
2047, 32, 32128, 17472, 49600, 2149450, 
2047, 32, 30304, 18432, 48736, 2129686, 
2047, 32, 28224, 17856, 46080, 2088907, 
