dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
16383, 0, 0, 23552, 23552, 462054, 
16383, 0, 0, 24704, 24704, 484328, 
16383, 0, 0, 23552, 23552, 459445, 
16383, 0, 0, 23552, 23552, 460911, 
16383, 0, 0, 24800, 24800, 487038, 
16383, 0, 0, 24704, 24704, 485017, 
16383, 0, 0, 24800, 24800, 487279, 
16383, 0, 0, 23552, 23552, 461334, 
16383, 0, 0, 24800, 24800, 486735, 
16383, 0, 0, 23424, 23424, 457417, 
16383, 1, 2016, 24704, 26720, 551716, 
16383, 1, 1696, 24704, 26400, 549250, 
16383, 1, 2016, 23552, 25568, 529014, 
16383, 1, 1856, 24800, 26656, 553744, 
16383, 1, 2016, 24704, 26720, 552089, 
16383, 1, 2016, 24704, 26720, 553537, 
16383, 1, 1376, 23552, 24928, 522915, 
16383, 1, 2016, 23552, 25568, 528926, 
16383, 1, 2016, 23552, 25568, 529063, 
16383, 1, 2016, 24704, 26720, 551162, 
16383, 2, 3232, 24704, 27936, 613807, 
16383, 2, 3552, 23552, 27104, 591908, 
16383, 2, 3872, 24800, 28672, 622334, 
16383, 2, 3488, 24800, 28288, 617645, 
16383, 2, 3968, 23552, 27520, 595615, 
16383, 2, 3232, 24800, 28032, 617053, 
16383, 2, 3872, 24704, 28576, 621458, 
16383, 2, 3872, 23552, 27424, 597644, 
16383, 2, 3872, 24800, 28672, 622626, 
16383, 2, 3872, 23552, 27424, 597827, 
16383, 4, 6880, 24704, 31584, 744621, 
16383, 4, 7456, 24896, 32352, 753957, 
16383, 4, 7616, 23552, 31168, 724999, 
16383, 4, 7360, 23552, 30912, 725988, 
16383, 4, 7104, 23552, 30656, 725640, 
16383, 4, 7360, 24704, 32064, 749143, 
16383, 4, 6560, 24800, 31360, 744171, 
16383, 4, 7616, 23520, 31136, 715915, 
16383, 4, 7392, 23616, 31008, 725327, 
16383, 4, 7040, 24800, 31840, 746714, 
16383, 8, 13728, 24736, 38464, 982525, 
16383, 8, 14368, 24832, 39200, 998140, 
16383, 8, 14208, 23584, 37792, 970151, 
16383, 8, 14208, 24864, 39072, 1002610, 
16383, 8, 13088, 24832, 37920, 985943, 
16383, 8, 13952, 24224, 38176, 972927, 
16383, 8, 13504, 22816, 36320, 939761, 
16383, 8, 11808, 23488, 35296, 931989, 
16383, 8, 12384, 24096, 36480, 959294, 
16383, 8, 13632, 22976, 36608, 965338, 
16383, 16, 24864, 25664, 50528, 1463016, 
16383, 16, 26688, 24064, 50752, 1466969, 
16383, 16, 25312, 23744, 49056, 1449137, 
16383, 16, 24288, 23712, 48000, 1423501, 
16383, 16, 25152, 23840, 48992, 1439138, 
16383, 16, 25824, 23680, 49504, 1416262, 
16383, 16, 25472, 23968, 49440, 1457682, 
16383, 16, 25568, 23808, 49376, 1448588, 
16383, 16, 24896, 24256, 49152, 1443660, 
16383, 16, 26304, 23776, 50080, 1424977, 
16383, 32, 45888, 25760, 71648, 2382353, 
16383, 32, 46208, 25504, 71712, 2383853, 
16383, 32, 46208, 25472, 71680, 2380456, 
16383, 32, 47328, 24512, 71840, 2359573, 
16383, 32, 44000, 24512, 68512, 2335697, 
16383, 32, 46624, 25120, 71744, 2361911, 
16383, 32, 47840, 24736, 72576, 2356191, 
16383, 32, 46272, 24416, 70688, 2349855, 
16383, 32, 46944, 25504, 72448, 2397932, 
16383, 32, 46464, 26528, 72992, 2401459, 
