dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
65535, 0, 0, 28960, 28960, 564204, 
65535, 0, 0, 30368, 30368, 592464, 
65535, 0, 0, 28768, 28768, 560860, 
65535, 0, 0, 28736, 28736, 560764, 
65535, 0, 0, 30368, 30368, 592249, 
65535, 0, 0, 30368, 30368, 592185, 
65535, 0, 0, 30368, 30368, 593706, 
65535, 0, 0, 28960, 28960, 565400, 
65535, 0, 0, 30368, 30368, 593986, 
65535, 0, 0, 28384, 28384, 553217, 
65535, 1, 2336, 30368, 32704, 661387, 
65535, 1, 2176, 30368, 32544, 659824, 
65535, 1, 2016, 28960, 30976, 631191, 
65535, 1, 2336, 30368, 32704, 660956, 
65535, 1, 2336, 30368, 32704, 662367, 
65535, 1, 2176, 30368, 32544, 661208, 
65535, 1, 2016, 28960, 30976, 632854, 
65535, 1, 2336, 28960, 31296, 634463, 
65535, 1, 2176, 28960, 31136, 633675, 
65535, 1, 2176, 30368, 32544, 660153, 
65535, 2, 4352, 30368, 34720, 727334, 
65535, 2, 4032, 28736, 32768, 693776, 
65535, 2, 4448, 30368, 34816, 726483, 
65535, 2, 3968, 30368, 34336, 722814, 
65535, 2, 4352, 28960, 33312, 700906, 
65535, 2, 3552, 30368, 33920, 722059, 
65535, 2, 3872, 30368, 34240, 725343, 
65535, 2, 4512, 28960, 33472, 702174, 
65535, 2, 4032, 30368, 34400, 724987, 
65535, 2, 4608, 28960, 33568, 698896, 
65535, 4, 8320, 30368, 38688, 858345, 
65535, 4, 7680, 30368, 38048, 853569, 
65535, 4, 8576, 28928, 37504, 823129, 
65535, 4, 8320, 28960, 37280, 831013, 
65535, 4, 8384, 28736, 37120, 829829, 
65535, 4, 8640, 30368, 39008, 861680, 
65535, 4, 8640, 30368, 39008, 860710, 
65535, 4, 8096, 28928, 37024, 818699, 
65535, 4, 6976, 28928, 35904, 810415, 
65535, 4, 7520, 30368, 37888, 852282, 
65535, 8, 14688, 30304, 44992, 1087607, 
65535, 8, 15552, 30336, 45888, 1095861, 
65535, 8, 15328, 28896, 44224, 1085749, 
65535, 8, 15488, 30400, 45888, 1097176, 
65535, 8, 15232, 30784, 46016, 1114145, 
65535, 8, 15328, 29120, 44448, 1071284, 
65535, 8, 15744, 27872, 43616, 1049562, 
65535, 8, 15808, 29280, 45088, 1078400, 
65535, 8, 17088, 28928, 46016, 1078081, 
65535, 8, 15456, 27648, 43104, 1057259, 
65535, 16, 29632, 31008, 60640, 1617308, 
65535, 16, 29984, 29312, 59296, 1559265, 
65535, 16, 29792, 29344, 59136, 1570884, 
65535, 16, 29472, 29600, 59072, 1577161, 
65535, 16, 30048, 29184, 59232, 1550449, 
65535, 16, 31328, 29120, 60448, 1569111, 
65535, 16, 28768, 28320, 57088, 1531415, 
65535, 16, 30112, 29920, 60032, 1592219, 
65535, 16, 29088, 28992, 58080, 1546283, 
65535, 16, 30176, 29152, 59328, 1580330, 
65535, 32, 57344, 31104, 88448, 2539222, 
65535, 32, 57504, 28224, 85728, 2495675, 
65535, 32, 54208, 31072, 85280, 2533988, 
65535, 32, 55904, 29440, 85344, 2505840, 
65535, 32, 56608, 30144, 86752, 2558988, 
65535, 32, 54848, 31104, 85952, 2532078, 
65535, 32, 55040, 30816, 85856, 2535209, 
65535, 32, 57120, 29664, 86784, 2522072, 
65535, 32, 56288, 31360, 87648, 2544489, 
65535, 32, 56672, 31520, 88192, 2556262, 
